Location,Motor Car,Dual Purpose Vehicle,Lorry,Cycle,Motor Cycle/Moped,Three wheeler,"Articulated Vehicle, prime mover",SLT Bus,Private Bus,Intercity Bus,Land Vehicle/Tractor,Animal drawn vehicle or rider on animal,Other,Total,accident_percentage,risk
Ampara,59,102,121,93,575,169,4,15,35,1,41,4,0,1219,5.714151783621619,0
Anuradhapura,116,224,246,158,845,196,2,28,104,3,72,0,6,2000,9.375146486663855,0
Badulla (Badulla & Bandarawela Divisions),82,121,171,20,266,219,2,58,78,1,16,0,5,1039,4.870388599821872,0
Batticaloa,26,43,30,64,224,52,4,9,25,1,24,1,2,505,2.3672244878826234,0
Chilaw (Chilaw & Puttalam Divisions),102,213,224,134,530,163,14,23,84,1,19,1,3,1511,7.082923170674542,0
"Colombo (Colombo-South, North, Central, Mt. Lavinia & Nugegoda Divisions)",4708,2675,1686,221,2835,2804,110,190,1194,4,59,0,63,16549,77.57464960390006,2
Galle (Galle & Elpitiya Divisions),488,377,348,216,1346,586,16,73,224,3,16,0,9,3702,17.353396146814795,1
"Gampaha (Gampaha, Negombo & Kelaniya Divisions)",2018,1688,1352,317,2598,1466,175,123,590,9,38,4,6,10384,48.67576055875873,2
Jaffna (Jaffna & KKS Divisions),32,64,46,73,213,63,1,8,21,0,28,0,0,549,2.573477710589228,0
Kalutara (Kalutara & Panadura Divisions),381,398,337,226,1022,525,15,53,238,4,15,0,6,3220,15.093985843528804,1
Kandy (Kandy & Gampola Divisions),735,637,526,29,746,895,4,148,403,4,10,1,18,4156,19.48155439928749,1
Kegalle (Kegalle & Seethawaka Divisions),281,323,357,23,500,545,11,82,224,1,15,0,12,2374,11.128298879669995,0
Kilinochchi (Kilinochchi & Mankulam Divisions),5,74,93,30,120,15,3,21,42,0,10,0,1,414,1.9406553227394177,0
"Kurunegala (Kurunegala, Kuliyapitiya & Nikaweratiya Divisions)",333,428,522,193,1349,433,16,97,218,4,35,0,17,3645,17.086204471944875,1
Mannar,12,35,26,18,71,35,0,1,8,0,7,0,0,213,0.9984531008297005,0
