Location,Motor Car,Dual Purpose Vehicle,Lorry,Cycle,Motor Cycle/Moped,Three wheeler,"Articulated Vehicle, prime mover",SLT Bus,Private Bus,Intercity Bus,Land Vehicle/Tractor,Animal drawn vehicle or rider on animal,Other,Total
Ampara ,38,83,154,130,631,127,6,18,24,2,46,1,1,1261
Anuradhapura ,76,176,261,182,817,159,8,26,100,2,49,1,0,1857
Badulla (Badulla & Bandarawela Divisions),61,107,150,18,227,152,1,54,71,0,15,0,0,856
Batticaloa,17,72,90,135,374,66,3,10,22,1,20,1,1,812
Chilaw (Chilaw & Puttalam Divisions),92,157,221,83,436,114,4,18,68,2,14,0,0,1209
"Colombo (Colombo-South, North, Central, Mt. Lavinia & Nugegoda Divisions)",6451,4011,1930,257,3110,2584,84,260,1652,7,60,2,7,20415
Galle (Galle & Elpitiya Divisions),364,406,348,239,1107,420,5,75,235,7,24,0,0,3230
"Gampaha (Gampaha, Negombo & Kelaniya Divisions)",2035,2012,1536,386,2685,1308,139,168,673,5,57,0,5,11009
Jaffna (Jaffna & KKS Divisions),29,84,92,141,318,56,2,25,61,0,33,1,0,842
Kalutara (Kalutara & Panadura Divisions),289,355,335,215,974,373,9,70,222,14,17,1,6,2880
Kandy (Kandy & Gampola Divisions),556,542,427,24,571,564,2,118,338,4,10,0,0,3156
Kegalle (Kegalle & Seethawaka Divisions),221,329,270,26,397,338,17,78,204,2,3,0,0,1885
Kilinochchi (Kilinochchi & Mankulam Divisions),5,58,43,27,57,17,3,14,35,0,13,0,1,273
"Kurunegala (Kurunegala, Kuliyapitiya & Nikaweratiya Divisions)",318,500,605,231,1601,378,22,87,227,7,64,0,0,4040
Mannar ,9,25,46,13,53,11,1,11,13,0,13,1,0,196
Matale ,70,144,198,35,316,189,6,28,112,2,14,0,0,1114
Matara ,60,127,133,86,328,187,6,49,118,3,20,0,1,1118
Monaragala ,38,91,125,75,425,120,1,25,60,1,27,0,0,988
Mullativ ,1,6,2,2,3,0,0,0,3,0,1,0,0,18
Nuwara-Eliya (Nuwara-Eliya & Hatton Divisions),67,132,147,16,96,189,3,34,51,4,14,0,2,755
Polonnaruwa ,46,118,158,89,418,88,5,11,44,0,41,0,2,1020
Ratnapura ,135,214,308,31,433,268,9,58,160,0,11,0,0,1627
Tangalle (Tangalle Division),59,136,148,66,392,105,11,34,70,0,36,0,2,1059
Trincomalee (Trincomalee & Kantale Divisions),38,101,118,84,333,84,5,14,32,2,16,2,2,831
Vavuniya ,19,68,79,63,138,30,3,7,36,1,12,0,0,456
Total,11094,10054,7924,2654,16240,7927,355,1292,4631,66,630,10,30,62907
